dist	ang_dist	time	coll	intrusion
7.0032875948254585	8.234799223959017	8.0	0	1
1.786418092466091	2.8192929969576754	8.0	0	6
2.0739899155032386	2.896675640574076	8.0	0	12
1.9525390487246608	2.858204203124579	8.0	1	6
5.4396339899602575	8.10545442414752	8.0	0	6
10.64792349533497	5.829913778078884	8.0	0	4
1.4131201276722551	4.504319746907198	8.0	0	16
7.98952810260308	6.334734410954715	8.0	0	2
6.015454923162441	10.820138210781318	8.0	0	1
9.044277600405268	8.265946876311792	8.0	0	1
1.790978111873805	9.233206828030017	8.0	0	9
5.868140783671588	4.789249055801903	11.0	1	7
2.0207357751347654	3.1609172618826507	8.0	0	7
1.9349500926395016	3.3478259159412462	8.0	0	5
9.368179331427612	7.420206443378562	8.0	0	3
1.5808078476520604	4.211882905503556	8.0	3	6
7.990718351038008	8.586107835177204	7.0	0	1
0.9440669569859923	4.294446986431485	7.0	0	12
2.2107132518985364	3.0559286506282883	8.0	1	9
4.290917704215517	2.0240421278952705	10.0	0	6
5.043309609033318	5.2218124388685	9.0	1	5
5.727348304559707	2.7824731536692444	11.0	2	12
1.434069400834904	1.5264833970712646	8.0	2	8
5.357702433177455	4.454573403748153	9.0	0	11
5.330268749533644	2.45204000199347	8.0	0	7
8.389833990449938	11.845970337426879	7.0	0	1
4.829472198273317	8.49230743802144	8.0	0	4
2.0282429754870064	5.435777977418302	8.0	0	8
4.0090878670513845	7.789066041525107	13.0	0	20
4.1895092073229945	6.513713146155915	8.0	0	2
1.8685732624490028	4.564615655117195	8.0	0	6
4.518642489018301	5.430854565128434	8.0	0	8
7.102812322894925	6.02292698702651	8.0	0	2
8.523103749508778	10.144737919489657	7.0	0	3
5.064767702393523	9.022712810791122	6.0	0	2
3.7758168681792768	9.316978487737206	7.0	0	3
1.512715324013589	4.898660791423778	8.0	3	7
8.116246056648073	8.23802893407304	8.0	0	2
2.127123796783252	3.4146770702450913	8.0	2	5
2.435469842330065	3.0418642228031567	8.0	0	6
7.386490961308425	5.633424035981246	8.0	0	1
1.7889029740615796	5.984352020435348	8.0	0	6
9.819333285017384	10.84130746816419	8.0	0	3
1.6531938428078519	5.575460424011143	8.0	0	4
7.797774824838666	6.001835870155439	8.0	0	1
1.593309981294865	5.245901190943284	8.0	1	6
6.723407095936834	6.746240405629089	8.0	0	1
1.7511433211474399	4.519650310139349	8.0	0	8
1.7505022068394245	5.022463587775098	8.0	0	8
5.103836832508018	4.428180490894224	8.0	0	5
2.071990561089662	5.428598112860561	8.0	1	3
4.202878288099437	9.073276932747271	12.0	0	10
1.656339810324278	4.63521075789077	8.0	1	7
6.553788770800749	8.630722887470524	7.0	0	2
5.19288224823628	8.804980250892438	6.0	0	2
7.506121516486193	8.16533508593641	8.0	0	3
1.8107203727986143	3.8988627530826983	8.0	0	7
2.5903552195410624	11.028717204353867	16.0	2	33
4.308128494324313	3.2869870006889896	13.0	0	16
2.0668416875358067	2.9453817913531894	8.0	0	6
10.094658503967237	10.994800972394927	7.0	0	2
1.1135916987235366	4.877901073918207	8.0	0	15
5.516181155695482	4.737342167286583	12.0	0	22
7.440246800868582	8.704242658608113	7.0	0	3
1.8543647359717126	3.562486245438454	8.0	0	6
8.3499016342584	6.319633033025351	8.0	0	4
4.5926467344402075	2.8189860928528407	13.0	2	6
9.775819027094299	11.562805067357644	8.0	0	1
9.086976027298244	7.722275173511835	8.0	0	2
1.846488490307325	2.8698802105101406	8.0	0	6
8.236007140859568	10.463266283376893	8.0	0	1
4.85186393903978	4.38745640783982	8.0	0	2
1.1244922026920263	3.418050477194764	8.0	0	18
6.1720032589066935	7.710317197519841	8.0	0	4
5.8995379505688685	3.7150986288976675	9.0	0	10
8.709906047179544	10.413739201715384	8.0	0	2
2.1141343150534633	2.7675476595966346	8.0	0	6
4.154763204136802	8.54488649198592	8.0	0	3
3.901278893154857	1.8784735860765351	10.0	0	14
5.442710980347783	8.195057795966926	8.0	0	3
9.454446549641137	9.51317270756821	7.0	0	1
5.378882006884147	1.3434388610375234	7.0	0	3
8.117626935960566	8.44914556677871	8.0	0	1
1.258455437407311	3.8516071955564155	11.0	0	25
1.9506545015892405	2.7622485983343856	8.0	0	6
1.7577788111838548	7.327239767282736	8.0	0	4
4.044080913450467	5.755828795120948	15.0	0	18
1.0984634217901221	8.88779447626615	11.0	0	22
1.9093903629855595	6.149413800664169	8.0	0	8
1.496417243392212	2.1499535811204975	10.0	0	17
1.7049312043766875	6.711031790554592	8.0	0	3
7.626724957807722	8.443809325810316	7.0	0	1
8.215470518000291	6.518173443744098	8.0	0	1
1.221751712377251	3.8704713814983394	12.0	0	33
7.857900217368151	11.170433058547594	8.0	0	1
1.729301718378749	7.509789377605783	8.0	1	9
2.0863986811547948	3.6635065984819817	8.0	0	7
2.2364530187439735	3.037595955836081	8.0	0	5
4.778066484468696	8.022737972912818	8.0	0	3
8.679859866979445	6.842032411738003	8.0	0	2
4.59283846050301	6.318142407734143	8.0	0	2
6.183482883734825	8.287416324275927	8.0	0	1
1.3727467084105498	5.60708691937939	8.0	2	13
2.0172405655455785	3.04680441041137	8.0	0	6
1.769751168809454	5.246605223703872	8.0	0	6
10.050180966578381	11.712669658813272	7.0	0	2
3.214642676223185	5.297316529147844	11.0	0	16
1.2862210846533144	8.613385659684669	8.0	1	8
1.8345926267703898	5.074448262746764	8.0	0	4
7.6465341225802606	14.335074682132571	17.0	0	24
7.573990460912629	8.52236272805175	7.0	0	2
6.592985423392369	8.96427081155631	8.0	0	1
1.3573124330883566	5.041967203606384	8.0	1	6
6.657367946332441	8.068800586929715	8.0	0	3
4.35889946517371	6.423313302017577	8.0	0	5
9.929837589889257	11.002068021328066	7.0	0	2
0.8682315730658343	9.717237299248763	11.0	3	21
3.202240773245074	4.84699669636807	10.0	1	13
7.825342174614035	11.573443715050498	7.0	0	2
1.406304490001233	2.1766909394437075	11.0	0	24
8.16318777182572	8.608664370597518	6.0	0	1
