timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 position8 velocity8 radius8 position9 velocity9 radius9 position10 velocity10 radius10 
0.10000000149011612 (0.9061906337738037,1.9755109548568726) (-0.5303300619125366,0.5303300619125366) 0.2199999988079071 (0.9061906337738037,1.9755109548568726) 1.5 2.356194490192345 (0.9376690983772278,2.887789011001587) (0.07382449507713318,-0.0003724409034475684) 0.2199999988079071 (0.6535277366638184,1.4239721298217773) (0.05169074609875679,0.14425727725028992) 0.2199999988079071 (2.138324022293091,2.190796375274658) (-0.009061028249561787,0.0012760595418512821) 0.2199999988079071 (0.42387625575065613,0.6841608881950378) (0.002015143632888794,0.0006325916037894785) 0.2199999988079071 (0.44605761766433716,2.853712797164917) (0.00031903639319352806,-0.00024363791453652084) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.2000001668930054 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (1.05652916431427,2.8871893882751465) (0.155191108584404,-0.0007829289534129202) 0.2199999988079071 (0.30722281336784363,1.5535746812820435) (-0.03024584800004959,0.12778717279434204) 0.2199999988079071 (2.1280672550201416,2.1922407150268555) (-0.00955229438841343,0.0013452445855364203) 0.2199999988079071 (0.42610520124435425,0.6848604679107666) (0.0020356683526188135,0.000639034784398973) 0.2199999988079071 (0.44640886783599854,2.853445291519165) (0.00031954501173458993,-0.00024402645067311823) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.3000001907348633 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (1.0738391876220703,2.8871021270751953) (0.17310036718845367,-0.0008732924470677972) 0.2199999988079071 (0.30460256338119507,1.5670491456985474) (-0.026202449575066566,0.13474422693252563) 0.2199999988079071 (2.1271073818206787,2.192375898361206) (-0.009599766694009304,0.0013519305502995849) 0.2199999988079071 (0.4263089597225189,0.6849244236946106) (0.002037556143477559,0.0006396274548023939) 0.2199999988079071 (0.44644081592559814,2.8534209728240967) (0.0003195913159288466,-0.0002440618263790384) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.4000002145767212 (0.892909049987793,1.883073329925537) (0.028537094593048096,0.11194700002670288) 0.2199999988079071 (0.892909049987793,1.883073329925537) 1.5 1.3211961085640715 (1.0934226512908936,2.8870034217834473) (0.1958351582288742,-0.0009880001889541745) 0.2199999988079071 (0.3122231662273407,1.5770286321640015) (0.0762060284614563,0.0997953861951828) 0.2199999988079071 (2.1261425018310547,2.192511796951294) (-0.009647728875279427,0.0013586850836873055) 0.2199999988079071 (0.4265128970146179,0.6849884390830994) (0.002039447659626603,0.0006402212311513722) 0.2199999988079071 (0.44647279381752014,2.8533966541290283) (0.00031963762012310326,-0.00024409720208495855) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.500000238418579 (0.892909049987793,1.883073329925537) (-3.90201841107482e-13,-1.6162689676219033e-13) 0.2199999988079071 (0.892909049987793,1.883073329925537) 1.5 -2.7488935672700032 (1.115986943244934,2.886889696121216) (0.22564274072647095,-0.0011383985402062535) 0.2199999988079071 (0.16427204012870789,1.6017361879348755) (-1.4795112609863281,0.24707531929016113) 0.2199999988079071 (2.1251728534698486,2.192648410797119) (-0.00969620980322361,0.0013655124930664897) 0.2199999988079071 (0.42671704292297363,0.6850525140762329) (0.0020413429010659456,0.0006408161716535687) 0.2199999988079071 (0.44650477170944214,2.85337233543396) (0.0003196839534211904,-0.00024413260689470917) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.600000262260437 (0.892909049987793,1.883073329925537) (2.98647554169279e-13,2.98647554169279e-13) 0.2199999988079071 (0.892909049987793,1.883073329925537) 1.5 0.7853981633974483 (1.142627239227295,2.8867552280426025) (0.26640352606773376,-0.0013440673938021064) 0.2199999988079071 (0.09522206336259842,1.6291148662567139) (-0.6904997229576111,0.2737864851951599) 0.2199999988079071 (2.1241984367370605,2.1927857398986816) (-0.009745203889906406,0.0013724119635298848) 0.2199999988079071 (0.42692136764526367,0.6851166486740112) (0.0020432418677955866,0.0006414123345166445) 0.2199999988079071 (0.44653674960136414,2.8533480167388916) (0.00031973031582310796,-0.0002441680117044598) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.700000286102295 (0.892909049987793,1.883073329925537) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.892909049987793,1.883073329925537) 1.5 -1.9634954131146867 (1.175168514251709,2.8865909576416016) (0.32541322708129883,-0.001641768147237599) 0.2199999988079071 (0.09097270667552948,1.6422462463378906) (-0.0424935519695282,0.13131415843963623) 0.2199999988079071 (2.1232190132141113,2.1929237842559814) (-0.009794715791940689,0.0013793841935694218) 0.2199999988079071 (0.42712587118148804,0.6851808428764343) (0.002045144559815526,0.0006420096033252776) 0.2199999988079071 (0.44656872749328613,2.8533236980438232) (0.00031977667822502553,-0.00024420343106612563) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.8000003099441528 (0.9070776104927063,1.870501160621643) (0.14168554544448853,-0.12572148442268372) 0.2199999988079071 (0.9070776104927063,1.870501160621643) 1.5 -0.725769454201361 (1.2169773578643799,2.8863799571990967) (0.4180883765220642,-0.002109296852722764) 0.2199999988079071 (0.0963180735707283,1.6475282907485962) (0.053453680127859116,0.052820440381765366) 0.2199999988079071 (2.122234582901001,2.1930625438690186) (-0.009844765067100525,0.0013864318607375026) 0.2199999988079071 (0.4273305833339691,0.6852450966835022) (0.0020470507442951202,0.0006426080362871289) 0.2199999988079071 (0.44660070538520813,2.853299379348755) (0.0003198230406269431,-0.0002442388504277915) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.9000003337860107 (0.9070776104927063,1.870501160621643) (-3.90201841107482e-13,-1.6162689676219033e-13) 0.2199999988079071 (0.9070776104927063,1.870501160621643) 1.5 -2.7488935672700032 (1.2752811908721924,2.8860857486724854) (0.583037793636322,-0.002941445680335164) 0.2199999988079071 (0.09048084169626236,1.6637762784957886) (-0.05837234482169151,0.16248030960559845) 0.2199999988079071 (2.1212451457977295,2.193201780319214) (-0.009895355440676212,0.0013935558963567019) 0.2199999988079071 (0.4275354743003845,0.6853094100952148) (0.0020489608868956566,0.0006432076916098595) 0.2199999988079071 (0.4466326832771301,2.8532750606536865) (0.0003198694030288607,-0.0002442742988932878) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
2.000000238418579 (0.9564063549041748,1.825040578842163) (0.49328747391700745,-0.4546060562133789) 0.2199999988079071 (0.9564063549041748,1.825040578842163) 1.5 -0.7446130264744042 (1.3700042963027954,2.885607957839966) (0.9472314119338989,-0.004778757691383362) 0.2199999988079071 (0.09642641991376877,1.6695195436477661) (0.05945577099919319,0.057432569563388824) 0.2199999988079071 (2.1202504634857178,2.1933419704437256) (-0.009946493431925774,0.0014007581630721688) 0.2199999988079071 (0.42774057388305664,0.6853737831115723) (0.0020508747547864914,0.0006438085110858083) 0.2199999988079071 (0.4466646611690521,2.853250741958618) (0.0003199157945346087,-0.0002443097182549536) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
2.1000001430511475 (1.0109257698059082,1.7745275497436523) (0.5451936721801758,-0.505130410194397) 0.2199999988079071 (1.0109257698059082,1.7745275497436523) 1.5 -0.7472729316889926 (1.5200023651123047,2.8848512172698975) (1.4999809265136719,-0.007567496970295906) 0.2199999988079071 (0.10270236432552338,1.675581932067871) (0.06275942176580429,0.06062379851937294) 0.2199999988079071 (2.119250535964966,2.1934828758239746) (-0.009998200461268425,0.0014080393593758345) 0.2199999988079071 (0.4279458522796631,0.6854382157325745) (0.0020527925807982683,0.0006444105529226363) 0.2199999988079071 (0.4466966688632965,2.85322642326355) (0.0003199621569365263,-0.0002443451667204499) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
