timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 
123.898681640625 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5684423446655273,0.6468900442123413) (-0.0010347380302846432,-0.00025572828599251807) 0.2199999988079071 (1.4387013912200928,3.182088851928711) (-9.548514753987547e-06,-4.6330947952810675e-05) 0.2199999988079071 (1.512465000152588,0.8352797627449036) (-0.0006372438510879874,0.0013136371271684766) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
123.9986801147461 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5683388710021973,0.6468644738197327) (-0.0010351816890761256,-0.00025583794922567904) 0.2199999988079071 (1.4387004375457764,3.182084321975708) (-9.548640264256392e-06,-4.6331559133250266e-05) 0.2199999988079071 (1.5124012231826782,0.8354111909866333) (-0.0006376315141096711,0.0013144363183528185) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.09867858886719 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.568235397338867,0.646838903427124) (-0.0010356255806982517,-0.00025594764156267047) 0.2199999988079071 (1.43869948387146,3.182079792022705) (-9.548765774525236e-06,-4.633217031368986e-05) 0.2199999988079071 (1.5123374462127686,0.8355427384376526) (-0.0006380196427926421,0.001315236440859735) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.19867706298828 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.568131685256958,0.6468132734298706) (-0.0010360695887356997,-0.0002560573921073228) 0.2199999988079071 (1.4386985301971436,3.182075262069702) (-9.548891284794081e-06,-4.633278149412945e-05) 0.2199999988079071 (1.5122735500335693,0.8356743454933167) (-0.0006384082953445613,0.001316037611104548) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.29867553710938 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.568027973175049,0.6467876434326172) (-0.0010365149937570095,-0.0002561674627941102) 0.2199999988079071 (1.4386975765228271,3.182070732116699) (-9.549016795062926e-06,-4.6333389036590233e-05) 0.2199999988079071 (1.5122096538543701,0.8358060121536255) (-0.0006387974717654288,0.0013168399455025792) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.39867401123047 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5679242610931396,0.6467620134353638) (-0.0010369605151936412,-0.000256277562584728) 0.2199999988079071 (1.4386966228485107,3.1820662021636963) (-9.54914230533177e-06,-4.6334000217029825e-05) 0.2199999988079071 (1.512145757675171,0.8359377980232239) (-0.0006391870556399226,0.0013176430948078632) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.49867248535156 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5678205490112305,0.6467363834381104) (-0.0010374062694609165,-0.0002563877496868372) 0.2199999988079071 (1.4386956691741943,3.1820616722106934) (-9.549267815600615e-06,-4.6334611397469416e-05) 0.2199999988079071 (1.5120817422866821,0.836069643497467) (-0.0006395772797986865,0.0013184474082663655) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.59867095947266 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5677168369293213,0.6467107534408569) (-0.0010378522565588355,-0.00025649796589277685) 0.2199999988079071 (1.438694715499878,3.1820571422576904) (-9.54939332586946e-06,-4.633522257790901e-05) 0.2199999988079071 (1.5120177268981934,0.836201548576355) (-0.0006399679114110768,0.001319252885878086) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.69866943359375 (0.6996742486953735,2.502319574356079) (-6.116301909386834e-10,6.116301909386834e-10) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.356194490192345 (2.567613124847412,0.6466850638389587) (-0.0010382983600720763,-0.00025660821120254695) 0.2199999988079071 (1.4386937618255615,3.1820526123046875) (-9.549518836138304e-06,-4.633583012036979e-05) 0.2199999988079071 (1.5119537115097046,0.8363335728645325) (-0.0006403590668924153,0.0013200590619817376) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.79866790771484 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.567509174346924,0.6466593742370605) (-0.0010387448128312826,-0.00025671854382380843) 0.2199999988079071 (1.4386928081512451,3.1820480823516846) (-9.549644346407149e-06,-4.6336441300809383e-05) 0.2199999988079071 (1.5118895769119263,0.8364656567573547) (-0.000640750746242702,0.0013208665186539292) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.89866638183594 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5674052238464355,0.6466336846351624) (-0.0010391924297437072,-0.0002568291674833745) 0.2199999988079071 (1.4386918544769287,3.1820435523986816) (-9.549769856675994e-06,-4.6337052481248975e-05) 0.2199999988079071 (1.511825442314148,0.8365978002548218) (-0.000641142891254276,0.0013216750230640173) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
124.99866485595703 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5673012733459473,0.6466079950332642) (-0.0010396402794867754,-0.00025693984935060143) 0.2199999988079071 (1.4386909008026123,3.1820390224456787) (-9.549895366944838e-06,-4.6337663661688566e-05) 0.2199999988079071 (1.5117613077163696,0.8367300629615784) (-0.0006415355019271374,0.00132248445879668) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.09866333007812 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.567197322845459,0.646582305431366) (-0.0010400883620604873,-0.0002570505894254893) 0.2199999988079071 (1.438689947128296,3.182034492492676) (-9.550020877213683e-06,-4.633827120414935e-05) 0.2199999988079071 (1.5116971731185913,0.8368623852729797) (-0.0006419286946766078,0.001323294942267239) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.19866180419922 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5670933723449707,0.6465566158294678) (-0.0010405366774648428,-0.00025716135860420763) 0.2199999988079071 (1.4386889934539795,3.182029962539673) (-9.550146387482528e-06,-4.633888238458894e-05) 0.2199999988079071 (1.5116329193115234,0.8369947671890259) (-0.0006423223530873656,0.001324106240645051) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.29866027832031 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5669891834259033,0.6465308666229248) (-0.0010409851092845201,-0.00025727221509441733) 0.2199999988079071 (1.438688039779663,3.18202543258667) (-9.550271897751372e-06,-4.633949356502853e-05) 0.2199999988079071 (1.5115686655044556,0.8371272683143616) (-0.0006427164771594107,0.001324918819591403) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.3986587524414 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.566884994506836,0.6465051174163818) (-0.0010414348216727376,-0.0002573833626229316) 0.2199999988079071 (1.4386870861053467,3.182020902633667) (-9.550397408020217e-06,-4.6340104745468125e-05) 0.2199999988079071 (1.5115044116973877,0.837259829044342) (-0.0006431111833080649,0.0013257324462756515) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.4986572265625 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5667808055877686,0.6464793682098389) (-0.0010418848833069205,-0.0002574945683591068) 0.2199999988079071 (1.4386861324310303,3.182016372680664) (-9.550522918289062e-06,-4.6340715925907716e-05) 0.2199999988079071 (1.5114400386810303,0.8373925089836121) (-0.0006435062969103456,0.0013265468878671527) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.5986557006836 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.566676616668701,0.6464536190032959) (-0.0010423349449411035,-0.00025760583230294287) 0.2199999988079071 (1.4386851787567139,3.182011842727661) (-9.550648428557906e-06,-4.63413234683685e-05) 0.2199999988079071 (1.5113756656646729,0.8375252485275269) (-0.0006439021090045571,0.0013273628428578377) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.69865417480469 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.566572427749634,0.6464278697967529) (-0.0010427853558212519,-0.0002577171253506094) 0.2199999988079071 (1.4386842250823975,3.182007312774658) (-9.550773938826751e-06,-4.634193464880809e-05) 0.2199999988079071 (1.5113112926483154,0.8376580476760864) (-0.0006442983285523951,0.0013281796127557755) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.79865264892578 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5664680004119873,0.6464020609855652) (-0.001043235999532044,-0.0002578284766059369) 0.2199999988079071 (1.438683271408081,3.1820027828216553) (-9.550899449095596e-06,-4.634254582924768e-05) 0.2199999988079071 (1.5112468004226685,0.8377909660339355) (-0.0006446950137615204,0.0013289973139762878) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.89865112304688 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.566363573074341,0.6463762521743774) (-0.0010436878073960543,-0.00025794014800339937) 0.2199999988079071 (1.4386823177337646,3.1819982528686523) (-9.55102495936444e-06,-4.6343157009687275e-05) 0.2199999988079071 (1.5111823081970215,0.8379239439964294) (-0.0006450923392549157,0.0013298164121806622) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
125.99864959716797 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5662591457366943,0.6463504433631897) (-0.0010441398480907083,-0.00025805187760852277) 0.2199999988079071 (1.4386813640594482,3.1819937229156494) (-9.551150469633285e-06,-4.6343768190126866e-05) 0.2199999988079071 (1.5111178159713745,0.8380569815635681) (-0.0006454901304095984,0.0013306363252922893) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.09864807128906 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.566154718399048,0.646324634552002) (-0.001044592121616006,-0.0002581636654213071) 0.2199999988079071 (1.4386804103851318,3.1819891929626465) (-9.55127597990213e-06,-4.634437573258765e-05) 0.2199999988079071 (1.511053204536438,0.8381901383399963) (-0.0006458883290179074,0.001331457169726491) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.19864654541016 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5660502910614014,0.6462988257408142) (-0.0010450446279719472,-0.00025827548233792186) 0.2199999988079071 (1.4386794567108154,3.1819846630096436) (-9.551401490170974e-06,-4.634498691302724e-05) 0.2199999988079071 (1.5109885931015015,0.8383233547210693) (-0.0006462871679104865,0.0013322794111445546) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.29864501953125 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.565945625305176,0.6462729573249817) (-0.0010454973671585321,-0.000258387386566028) 0.2199999988079071 (1.438678503036499,3.1819801330566406) (-9.551527000439819e-06,-4.634559809346683e-05) 0.2199999988079071 (1.510923981666565,0.8384566903114319) (-0.0006466864724643528,0.001333102467469871) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.39864349365234 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.56584095954895,0.6462470889091492) (-0.0010459513869136572,-0.0002584995818324387) 0.2199999988079071 (1.4386775493621826,3.1819756031036377) (-9.551652510708664e-06,-4.6346209273906425e-05) 0.2199999988079071 (1.5108592510223389,0.8385900855064392) (-0.0006470863590948284,0.0013339268043637276) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.49864196777344 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5657362937927246,0.6462212204933167) (-0.001046405523084104,-0.00025861183530651033) 0.2199999988079071 (1.4386765956878662,3.1819710731506348) (-9.551778020977508e-06,-4.6346820454346016e-05) 0.2199999988079071 (1.5107945203781128,0.8387235403060913) (-0.0006474867695942521,0.0013347521889954805) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.59864044189453 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.565631628036499,0.6461953520774841) (-0.0010468600085005164,-0.0002587241178844124) 0.2199999988079071 (1.4386756420135498,3.181966543197632) (-9.551903531246353e-06,-4.634743163478561e-05) 0.2199999988079071 (1.5107297897338867,0.838857114315033) (-0.0006478876457549632,0.0013355785049498081) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.69863891601562 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5655269622802734,0.6461694836616516) (-0.0010473146103322506,-0.00025883648777380586) 0.2199999988079071 (1.4386746883392334,3.181962013244629) (-9.552029041515198e-06,-4.634803917724639e-05) 0.2199999988079071 (1.510664939880371,0.8389907479286194) (-0.0006482890457846224,0.001336405985057354) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.79863739013672 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.565422296524048,0.6461436152458191) (-0.0010477694449946284,-0.00025894888676702976) 0.2199999988079071 (1.438673734664917,3.181957483291626) (-9.552154551784042e-06,-4.634865035768598e-05) 0.2199999988079071 (1.5106000900268555,0.8391245007514954) (-0.0006486910278908908,0.001337234629318118) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.89863586425781 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.565317392349243,0.6461176872253418) (-0.00104822451248765,-0.00025906137307174504) 0.2199999988079071 (1.4386727809906006,3.181952953338623) (-9.552280062052887e-06,-4.6349261538125575e-05) 0.2199999988079071 (1.5105352401733398,0.8392583131790161) (-0.0006490935920737684,0.0013380644377321005) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
126.9986343383789 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5652124881744385,0.6460917592048645) (-0.0010486808605492115,-0.0002591741504147649) 0.2199999988079071 (1.4386718273162842,3.18194842338562) (-9.552405572321732e-06,-4.6349872718565166e-05) 0.2199999988079071 (1.5104702711105347,0.8393921852111816) (-0.0006494965637102723,0.0013388950610533357) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.0986328125 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.565107583999634,0.6460658311843872) (-0.001049137325026095,-0.00025928698596544564) 0.2199999988079071 (1.4386708736419678,3.181943893432617) (-9.552531082590576e-06,-4.635048389900476e-05) 0.2199999988079071 (1.5104053020477295,0.8395261764526367) (-0.0006499000592157245,0.0013397268485277891) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.1986312866211 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.565002679824829,0.6460399031639099) (-0.0010495941387489438,-0.00025939985061995685) 0.2199999988079071 (1.4386699199676514,3.1819393634796143) (-9.552656592859421e-06,-4.635109144146554e-05) 0.2199999988079071 (1.5103402137756348,0.8396602272987366) (-0.0006503041950054467,0.0013405599165707827) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.29862976074219 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.5648977756500244,0.6460139751434326) (-0.0010500511853024364,-0.00025951280258595943) 0.2199999988079071 (1.438668966293335,3.1819348335266113) (-9.552782103128266e-06,-4.635170262190513e-05) 0.2199999988079071 (1.51027512550354,0.8397943377494812) (-0.0006507087964564562,0.0013413941487669945) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.39862823486328 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5647926330566406,0.6459879875183105) (-0.0010505083482712507,-0.0002596257836557925) 0.2199999988079071 (1.4386680126190186,3.1819303035736084) (-9.55290761339711e-06,-4.6352313802344725e-05) 0.2199999988079071 (1.5102100372314453,0.8399285674095154) (-0.000651113863568753,0.001342229195870459) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.49862670898438 (0.6996742486953735,2.502319574356079) (-3.90201841107482e-13,1.6162689676219033e-13) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 2.7488935672700032 (2.564687490463257,0.6459619998931885) (-0.0010509667918086052,-0.000259739113971591) 0.2199999988079071 (1.4386670589447021,3.1819257736206055) (-9.553033123665955e-06,-4.6352924982784316e-05) 0.2199999988079071 (1.510144829750061,0.8400628566741943) (-0.0006515195709653199,0.001343065407127142) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.59862518310547 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.564582347869873,0.6459360122680664) (-0.0010514254681766033,-0.00025985247339122) 0.2199999988079071 (1.4386661052703857,3.1819212436676025) (-9.5531586339348e-06,-4.635353616322391e-05) 0.2199999988079071 (1.5100796222686768,0.8401972651481628) (-0.000651925744023174,0.001343902782537043) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.69862365722656 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5644772052764893,0.6459100246429443) (-0.001051884377375245,-0.00025996589101850986) 0.2199999988079071 (1.4386651515960693,3.1819167137145996) (-9.553284144203644e-06,-4.63541473436635e-05) 0.2199999988079071 (1.5100144147872925,0.8403317332267761) (-0.0006523325573652983,0.0013447414385154843) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.79862213134766 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5643720626831055,0.6458840370178223) (-0.0010523435194045305,-0.00026007936685346067) 0.2199999988079071 (1.438664197921753,3.1819121837615967) (-9.553409654472489e-06,-4.635475852410309e-05) 0.2199999988079071 (1.5099490880966187,0.840466320514679) (-0.0006527397781610489,0.0013455809094011784) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.89862060546875 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.5642666816711426,0.6458579897880554) (-0.0010528028942644596,-0.00026019287179224193) 0.2199999988079071 (1.4386632442474365,3.1819076538085938) (-9.553535164741334e-06,-4.6355366066563874e-05) 0.2199999988079071 (1.5098837614059448,0.8406009674072266) (-0.0006531476974487305,0.0013464217772707343) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
127.99861907958984 (0.6996742486953735,2.502319574356079) (-3.310118845689658e-10,7.991333705881232e-10) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 1.9634954131146867 (2.5641613006591797,0.6458319425582886) (-0.0010532635496929288,-0.0002603067259769887) 0.2199999988079071 (1.4386622905731201,3.181903123855591) (-9.553660675010178e-06,-4.6355977247003466e-05) 0.2199999988079071 (1.509818434715271,0.840735673904419) (-0.0006535560823976994,0.0013472636928781867) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
128.09861755371094 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.564055919647217,0.6458058953285217) (-0.0010537244379520416,-0.00026042060926556587) 0.2199999988079071 (1.4386613368988037,3.181898593902588) (-9.553786185279023e-06,-4.635658842744306e-05) 0.2199999988079071 (1.5097529888153076,0.8408704996109009) (-0.0006539648748002946,0.00134810630697757) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
128.19862365722656 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.563950538635254,0.6457798480987549) (-0.0010541854426264763,-0.000260534550761804) 0.2199999988079071 (1.4386603832244873,3.181894063949585) (-9.553911695547868e-06,-4.635719960788265e-05) 0.2199999988079071 (1.5096875429153442,0.8410053849220276) (-0.0006543743656948209,0.001348950550891459) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
128.2986297607422 (0.6996742486953735,2.502319574356079) (0.0,0.0) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 0.0 (2.563845157623291,0.645753800868988) (-0.0010546467965468764,-0.00026064857956953347) 0.2199999988079071 (1.438659429550171,3.181889533996582) (-9.554037205816712e-06,-4.635781078832224e-05) 0.2199999988079071 (1.5096220970153809,0.8411403894424438) (-0.0006547843222506344,0.0013497957261279225) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
128.3986358642578 (0.6996742486953735,2.502319574356079) (7.991333705881232e-10,-3.310118845689658e-10) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 -0.3926990863197901 (2.563739538192749,0.6457277536392212) (-0.0010551082668825984,-0.0002607626374810934) 0.2199999988079071 (1.4386584758758545,3.181885004043579) (-9.554162716085557e-06,-4.635842196876183e-05) 0.2199999988079071 (1.509556531906128,0.8412754535675049) (-0.0006551948608830571,0.0013506419491022825) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
128.49864196777344 (0.6996742486953735,2.502319574356079) (-3.310118845689658e-10,7.991333705881232e-10) 0.2199999988079071 (0.6996742486953735,2.502319574356079) 1.5 1.9634954131146867 (2.563633918762207,0.6457016468048096) (-0.0010555710177868605,-0.00026087701553478837) 0.2199999988079071 (1.438657522201538,3.181880474090576) (-9.554288226354402e-06,-4.635903314920142e-05) 0.2199999988079071 (1.509490966796875,0.8414105772972107) (-0.0006556059815920889,0.0013514894526451826) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
