timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 
0.10000000149011612 (1.1518877744674683,2.6868114471435547) (-6.116301909386834e-10,-6.116301909386834e-10) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 -2.356194490192345 (2.6715290546417236,0.6723673939704895) (-0.0006818411056883633,-0.0001685123424977064) 0.2199999988079071 (0.39741408824920654,1.6205953359603882) (0.027373600751161575,0.049686383455991745) 0.2199999988079071 (1.5715888738632202,0.7134009599685669) (-0.0003687733842525631,0.0007602021796628833) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.3000001907348633 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6707093715667725,0.6721648573875427) (-0.0006840549176558852,-0.000169059494510293) 0.2199999988079071 (0.4412282705307007,1.7001234292984009) (0.04784354940056801,0.08684179931879044) 0.2199999988079071 (1.5711454153060913,0.7143151760101318) (-0.0003702447284013033,0.0007632351480424404) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.4000002145767212 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6706409454345703,0.6721479296684265) (-0.0006842401926405728,-0.00016910526028368622) 0.2199999988079071 (0.4463402032852173,1.7094022035598755) (0.051119375973939896,0.09278782457113266) 0.2199999988079071 (1.571108341217041,0.7143915295600891) (-0.0003703678958117962,0.0007634891080670059) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.500000238418579 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.670572519302368,0.6721310019493103) (-0.0006844254676252604,-0.0001691510551609099) 0.2199999988079071 (0.4518299698829651,1.7193667888641357) (0.054897524416446686,0.09964561462402344) 0.2199999988079071 (1.5710712671279907,0.7144678831100464) (-0.0003704911796376109,0.0007637432427145541) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.600000262260437 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.670504093170166,0.6721140742301941) (-0.0006846108008176088,-0.0001691968645900488) 0.2199999988079071 (0.45776036381721497,1.7301311492919922) (0.059304047375917435,0.1076439917087555) 0.2199999988079071 (1.5710341930389404,0.7145442962646484) (-0.0003706144925672561,0.0007639974937774241) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.700000286102295 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.670435667037964,0.6720971465110779) (-0.0006847962504252791,-0.0001692426740191877) 0.2199999988079071 (0.46421146392822266,1.7418407201766968) (0.06451094895601273,0.11709513515233994) 0.2199999988079071 (1.5709971189498901,0.7146207094192505) (-0.00037073795101605356,0.0007642519776709378) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.8000003099441528 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6703672409057617,0.6720802187919617) (-0.0006849817000329494,-0.00016928849800024182) 0.2199999988079071 (0.47128739953041077,1.7546844482421875) (0.07075933367013931,0.12843671441078186) 0.2199999988079071 (1.5709600448608398,0.7146971821784973) (-0.00037086146767251194,0.0007645065779797733) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.9000003337860107 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6702988147735596,0.6720632910728455) (-0.0006851672078482807,-0.0001693343510851264) 0.2199999988079071 (0.4791271686553955,1.7689145803451538) (0.07839754968881607,0.14230097830295563) 0.2199999988079071 (1.5709229707717896,0.7147736549377441) (-0.00037098510074429214,0.0007647614693269134) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.000000238418579 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6702303886413574,0.6720463633537292) (-0.0006853527738712728,-0.00016938020417001098) 0.2199999988079071 (0.48792198300361633,1.7848782539367676) (0.08794805407524109,0.15963628888130188) 0.2199999988079071 (1.5708858966827393,0.714850127696991) (-0.00037110879202373326,0.0007650164188817143) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.1000001430511475 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.670161724090576,0.672029435634613) (-0.0006855383981019258,-0.00016942608635872602) 0.2199999988079071 (0.49794507026672363,1.80307137966156) (0.10023082792758942,0.1819310039281845) 0.2199999988079071 (1.570848822593689,0.7149266600608826) (-0.00037123251240700483,0.0007652714266441762) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
2.200000047683716 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.670093059539795,0.6720125079154968) (-0.0006857247208245099,-0.00016947212861850858) 0.2199999988079071 (0.5096058249473572,1.8242371082305908) (0.11660770326852798,0.21165698766708374) 0.2199999988079071 (1.5708116292953491,0.7150031924247742) (-0.0003713563783094287,0.0007655267254449427) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
