timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
2.499999761581421 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.5999996662139893 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.6999995708465576 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.799999475479126 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.8999993801116943 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
2.9999992847442627 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.099999189376831 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.1999990940093994 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.2999989986419678 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.399998903274536 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
